yearmonth,volume,population,consumption,inventory,GDP,Emission,3 Month Change,6 Month Change
2021-12-01,360666,331824.1,20656.686,1792.29443,20529.63,4904.410261,33140.0,19973.0
2021-11-01,353702,331824.1,20572.646,1835.21488,20529.63,4904.410261,4102.0,1666.0
2021-10-01,358626,331824.1,20377.15,1863.612919,20529.63,4904.410261,6869.0,19484.0
2021-09-01,327526,331824.1,20138.57,1868.707678,20529.63,4904.410261,-13167.0,-23576.0
2021-08-01,349600,331824.1,20572.572,1871.505722,20529.63,4904.410261,-2436.0,71709.0
2021-07-01,351757,331824.1,20171.831,1899.418736,20529.63,4904.410261,12615.0,6911.0
2021-06-01,340693,331824.1,20585.872,1902.667983,20529.63,4904.410261,-10409.0,-5530.0
2021-05-01,352036,331824.1,20049.739,1931.452405,20529.63,4904.410261,74145.0,16169.0
2021-04-01,339142,331824.1,19743.697,1932.239995,20529.63,4904.410261,-5704.0,14962.0
2021-03-01,351102,331824.1,19132.115,1948.721211,20529.63,4904.410261,4879.0,23479.0
2021-02-01,277891,331824.1,17699.106,1940.840922,20529.63,4904.410261,-57976.0,-49984.0
2021-01-01,344846,331824.1,18814.347,1975.188339,20529.63,4904.410261,20666.0,3662.0
2020-12-01,346223,331424.8,18801.691,1981.433712,19377.36,4579.851351,18600.0,32948.0
2020-11-01,335867,331424.8,18742.522,2026.809012,19377.36,4579.851351,7992.0,34762.0
2020-10-01,324180,331424.8,18613.649,2024.885255,19377.36,4579.851351,-17004.0,-33232.0
2020-09-01,327623,331424.8,18414.83,2065.36725,19377.36,4579.851351,14348.0,-69070.0
2020-08-01,327875,331424.8,18557.877,2085.108019,19377.36,4579.851351,26770.0,-44544.0
2020-07-01,341184,331424.8,18381.073,2110.127995,19377.36,4579.851351,-16228.0,-57236.0
2020-06-01,313275,331424.8,17578.061,2113.726137,19377.36,4579.851351,-83418.0,-89039.0
2020-05-01,301105,331424.8,16078.185,2080.56447,19377.36,4579.851351,-71314.0,-88905.0
2020-04-01,357412,331424.8,14548.505,2041.425341,19377.36,4579.851351,-41008.0,-39682.0
2020-03-01,396693,331424.8,18462.842,1961.689009,19377.36,4579.851351,-5621.0,18983.0
2020-02-01,372419,331424.8,20132.252,1917.679679,19377.36,4579.851351,-17591.0,-14654.0
2020-01-01,398420,331424.8,19933.39,1934.860185,19377.36,4579.851351,1326.0,29455.0
2019-12-01,402314,330046.3,20442.87,1916.846621,19928.97,5146.899365,24604.0,35768.0
2019-11-01,390010,330046.3,20736.154,1918.204734,19928.97,5146.899365,2937.0,13247.0
2019-10-01,397094,330046.3,20713.986,1926.721743,19928.97,5146.899365,28129.0,32636.0
2019-09-01,377710,330046.3,20248.481,1943.204778,19928.97,5146.899365,11164.0,8418.0
2019-08-01,387073,330046.3,21157.914,1945.502616,19928.97,5146.899365,10310.0,60228.0
2019-07-01,368965,330046.3,20734.572,1953.892613,19928.97,5146.899365,4507.0,1041.0
2019-06-01,366546,330046.3,20653.976,1948.984499,19928.97,5146.899365,-2746.0,-3738.0
2019-05-01,376763,330046.3,20387.087,1951.941977,19928.97,5146.899365,49918.0,20180.0
2019-04-01,364458,330046.3,20332.6,1912.220298,19928.97,5146.899365,-3466.0,7691.0
2019-03-01,369292,330046.3,20176.242,1894.33602,19928.97,5146.899365,-992.0,25994.0
2019-02-01,326845,330046.3,20283.869,1897.440479,19928.97,5146.899365,-29738.0,-26309.0
2019-01-01,367924,330046.3,20614.981,1914.152353,19928.97,5146.899365,11157.0,30110.0
2018-12-01,370284,328319.8,20327.481,1908.077217,19481.94,5277.806361,26986.0,51068.0
2018-11-01,356583,328319.8,20774.216,1907.339325,19481.94,5277.806361,3429.0,33092.0
2018-10-01,356767,328319.8,20785.793,1915.062035,19481.94,5277.806361,18953.0,41771.0
2018-09-01,343298,328319.8,20084.108,1931.197354,19481.94,5277.806361,24082.0,18831.0
2018-08-01,353154,328319.8,21356.101,1891.868886,19481.94,5277.806361,29663.0,65284.0
2018-07-01,337814,328319.8,20671.374,1872.599491,19481.94,5277.806361,22818.0,27782.0
2018-06-01,319216,328319.8,20770.269,1866.841908,19481.94,5277.806361,-5251.0,9730.0
2018-05-01,323491,328319.8,20251.206,1870.104741,19481.94,5277.806361,35621.0,20927.0
2018-04-01,314996,328319.8,20038.353,1864.850804,19481.94,5277.806361,4964.0,15270.0
2018-03-01,324467,328319.8,20731.229,1861.293645,19481.94,5277.806361,14981.0,38968.0
2018-02-01,287870,328319.8,19693.135,1875.452826,19481.94,5277.806361,-14694.0,1111.0
2018-01-01,310032,328319.8,20564.365,1879.441119,19481.94,5277.806361,10306.0,23375.0
2017-12-01,309486,326385.1,20319.228,1892.000949,18924.57,5131.445157,23987.0,36165.0
2017-11-01,302564,326385.1,20310.271,1920.612247,18924.57,5131.445157,15805.0,17837.0
2017-10-01,299726,326385.1,19970.876,1938.590941,18924.57,5131.445157,13069.0,26685.0
2017-09-01,285499,326385.1,19629.412,1974.588553,18924.57,5131.445157,12178.0,1353.0
2017-08-01,286759,326385.1,20273.998,1983.688517,18924.57,5131.445157,2032.0,31678.0
2017-07-01,286657,326385.1,20125.278,1995.638896,18924.57,5131.445157,13616.0,11540.0
2017-06-01,273321,326385.1,20565.111,2007.260253,18924.57,5131.445157,-10825.0,33.0
2017-05-01,284727,326385.1,20046.726,2031.448628,18924.57,5131.445157,29646.0,17630.0
2017-04-01,273041,326385.1,19621.157,2025.237544,18924.57,5131.445157,-2076.0,123.0
2017-03-01,284146,326385.1,20057.481,2028.10044,18924.57,5131.445157,10858.0,27829.0
2017-02-01,255081,326385.1,19146.298,2046.692195,18924.57,5131.445157,-12016.0,-14305.0
2017-01-01,275117,326385.1,19289.554,2049.033298,18924.57,5131.445157,2199.0,6591.0
2016-12-01,273288,324121.8,19985.668,2024.88574,18509.63,5168.938698,16971.0,13004.0
2016-11-01,267097,324121.8,19685.966,2051.592242,18509.63,5168.938698,-2289.0,-6778.0
